gx,gy,x_center,y_center,total_hits,entropy_bits,normalized_entropy,dominant_share,share_stem,share_bulk,share_left,share_right
80,18,1.025000,0.925000,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
81,18,1.075000,0.925000,8,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
82,18,1.125000,0.925000,12,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
83,18,1.175000,0.925000,7,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
84,18,1.225000,0.925000,5,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
85,18,1.275000,0.925000,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
86,18,1.325000,0.925000,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
87,18,1.375000,0.925000,8,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
88,18,1.425000,0.925000,11,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
89,18,1.475000,0.925000,15,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
90,18,1.525000,0.925000,38,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
60,19,0.025000,0.975000,66,0.329846,0.164923,0.939394,0.939394,0.000000,0.000000,0.060606
61,19,0.075000,0.975000,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
64,19,0.225000,0.975000,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
65,19,0.275000,0.975000,6,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
66,19,0.325000,0.975000,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
67,19,0.375000,0.975000,7,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
68,19,0.425000,0.975000,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
71,19,0.575000,0.975000,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
72,19,0.625000,0.975000,10,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
73,19,0.675000,0.975000,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
74,19,0.725000,0.975000,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
75,19,0.775000,0.975000,2,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
76,19,0.825000,0.975000,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
77,19,0.875000,0.975000,6,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
78,19,0.925000,0.975000,7,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
79,19,0.975000,0.975000,12,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
80,19,1.025000,0.975000,8,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
81,19,1.075000,0.975000,9,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
82,19,1.125000,0.975000,5,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
83,19,1.175000,0.975000,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
84,19,1.225000,0.975000,11,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
90,19,1.525000,0.975000,8,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
60,20,0.025000,1.025000,52,0.318215,0.159108,0.942308,0.942308,0.000000,0.000000,0.057692
61,20,0.075000,1.025000,2,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
62,20,0.125000,1.025000,2,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
63,20,0.175000,1.025000,2,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
