gx,gy,x_center,y_center,total_hits,entropy_bits,normalized_entropy,dominant_share,share_stem,share_bulk,share_left,share_right
64,20,0.225000,1.025000,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
65,20,0.275000,1.025000,2,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
66,20,0.325000,1.025000,10,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
67,20,0.375000,1.025000,6,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
68,20,0.425000,1.025000,5,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
71,20,0.575000,1.025000,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
72,20,0.625000,1.025000,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
73,20,0.675000,1.025000,11,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
74,20,0.725000,1.025000,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
75,20,0.775000,1.025000,5,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
76,20,0.825000,1.025000,11,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
77,20,0.875000,1.025000,5,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
78,20,0.925000,1.025000,1,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
79,20,0.975000,1.025000,8,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
80,20,1.025000,1.025000,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
81,20,1.075000,1.025000,5,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
82,20,1.125000,1.025000,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
83,20,1.175000,1.025000,6,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
84,20,1.225000,1.025000,6,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
85,20,1.275000,1.025000,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
86,20,1.325000,1.025000,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
87,20,1.375000,1.025000,1,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
88,20,1.425000,1.025000,1,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
60,21,0.025000,1.075000,52,0.391244,0.195622,0.923077,0.923077,0.000000,0.000000,0.076923
61,21,0.075000,1.075000,1,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
62,21,0.125000,1.075000,5,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
63,21,0.175000,1.075000,5,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
64,21,0.225000,1.075000,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
65,21,0.275000,1.075000,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
66,21,0.325000,1.075000,1,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
67,21,0.375000,1.075000,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
68,21,0.425000,1.075000,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
71,21,0.575000,1.075000,2,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
72,21,0.625000,1.075000,2,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
73,21,0.675000,1.075000,2,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
74,21,0.725000,1.075000,11,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
79,21,0.975000,1.075000,1,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
80,21,1.025000,1.075000,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
81,21,1.075000,1.075000,5,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
82,21,1.125000,1.075000,1,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
83,21,1.175000,1.075000,5,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
84,21,1.225000,1.075000,7,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
85,21,1.275000,1.075000,7,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
86,21,1.325000,1.075000,5,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
87,21,1.375000,1.075000,10,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
88,21,1.425000,1.075000,9,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
89,21,1.475000,1.075000,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
60,22,0.025000,1.125000,52,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000
61,22,0.075000,1.125000,2,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
62,22,0.125000,1.125000,6,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
63,22,0.175000,1.125000,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
64,22,0.225000,1.125000,2,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
65,22,0.275000,1.125000,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
