candidate_id,status,selected_rank,score,lambda_max,occupancy,span_x,span_y,aspect_ratio,min_x,max_x,min_y,max_y,a0,a1,a2,a3,a4,a5,b0,b1,b2,b3,b4,b5
262,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.043443,0.972220,0.995275,0.714179,-0.316755,0.306491,-0.654611,0.693115,-0.349880,-0.766080,0.635822,0.037071
263,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.390178,0.321023,-0.062355,-0.898811,-0.706346,-0.291488,0.715427,-1.194615,-1.001319,-0.877900,-0.805914,-1.109720
264,collapsed,,0.000000,-0.442979,0.000000,0.000000,0.000000,0.000000,0.388898,0.388898,-0.349302,-0.349302,0.525291,-0.300244,0.864168,0.947988,-0.354881,-1.192591,-0.325789,0.254769,-1.190393,-0.448680,0.416779,1.164452
265,nonchaotic,,0.000000,0.000054,0.096250,0.703947,0.810135,0.868926,-0.465645,0.238302,-0.901333,-0.091198,-0.060226,-0.424308,0.429108,0.342651,0.032677,-0.349306,-1.047767,-0.556787,-0.411942,-0.079742,-0.203971,0.948480
266,collapsed,,0.000000,-0.359252,0.000000,0.000000,0.000000,0.000000,0.864037,0.864037,-0.231273,-0.231273,0.692355,0.079257,0.021668,-1.181420,0.799540,0.670369,0.373310,-0.805944,0.091266,-0.667985,0.525380,0.218212
267,collapsed,,0.000000,-0.735300,0.000000,0.000000,0.000000,0.000000,0.625303,0.625303,0.908077,0.908077,0.967335,-1.105872,0.618947,0.017701,0.633292,-0.579268,0.280274,0.885234,-0.458118,-0.021979,0.922120,-0.693044
268,collapsed,,0.000000,-0.042398,0.000000,0.000000,0.000000,0.000000,-0.558459,-0.558459,0.282419,0.282419,-0.577705,0.233325,-0.753257,-1.021142,0.932621,-0.501154,-0.135067,-1.088947,0.395166,0.000041,-1.016820,-0.334923
269,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.611443,0.939406,0.949225,0.104940,0.510674,0.177854,-0.168541,0.864981,0.260127,0.897864,0.847307,0.457847
270,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.626369,0.488525,-1.099009,1.029852,-0.421922,-0.648822,-1.016750,1.097606,-1.097922,1.165380,1.028922,-0.817197
271,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.078884,-0.888200,0.318163,-0.296518,-0.354984,-0.246777,0.882209,-0.887336,0.920013,0.292035,-0.538782,0.892621
272,collapsed,,0.000000,-0.146683,0.008125,2.443191,1.848177,0.756460,-1.341116,1.102075,-0.585567,1.262609,-1.165761,-0.646436,0.556146,-0.368455,0.523159,-0.295100,0.996943,-0.135303,-0.057061,-0.372076,-0.889304,-0.234186
273,collapsed,,0.000000,-0.142835,0.000000,0.000000,0.000000,0.000000,-0.353080,-0.353080,0.446242,0.446242,-0.178959,-0.595997,-0.861857,0.141547,-0.355973,-0.481886,0.729082,0.825873,0.142956,0.404338,0.173566,-0.114537
274,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.481844,0.104162,1.130986,0.450985,-0.114681,-0.750239,-0.836493,0.802995,-1.000799,-0.836441,-0.657151,0.595864
275,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.460753,-1.087719,-0.312632,0.593420,-1.119987,0.083627,1.112994,0.706611,0.405986,0.187634,0.030377,0.337217
276,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.079389,1.185312,-0.609423,0.264228,0.491190,0.776913,0.886483,0.879707,-1.195657,-0.865282,-0.988950,0.676560
277,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.018735,-1.039150,-1.196062,-0.724407,-1.018770,-0.026608,-0.490016,0.817016,1.108877,-0.305565,0.567148,-1.143328
278,collapsed,,0.000000,-0.698513,0.000000,0.000000,0.000000,0.000000,-0.562370,-0.562370,0.110303,0.110303,-0.519147,0.061609,0.199014,0.125184,-0.611577,0.304725,0.235480,-0.016450,-0.602864,-1.192011,-0.180366,0.179736
279,nonchaotic,,0.000000,-0.000308,0.095000,0.060220,0.179549,0.335396,0.430698,0.490918,-0.469824,-0.290275,0.497109,-0.014638,-0.517521,0.503860,-0.822521,-0.953496,-0.153542,-0.845125,-0.734487,-0.880389,0.010125,1.089754
280,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.728870,0.449659,0.874447,1.159129,-0.080833,-0.408362,-0.252009,0.621582,-0.776103,0.156348,0.791147,-1.159130
